iter	RMSE
0	24214.10714
1	23501.43168
2	22854.04776
3	22256.30724
4	21736.1576
5	21252.16112
6	20830.43495
7	20402.02351
8	20011.63115
9	19678.92086
10	19365.187
11	19067.75572
12	18801.71272
13	18551.74866
14	18341.8026
15	18111.5318
16	17931.3307
17	17766.47337
18	17592.16911
19	17418.05992
20	17289.2531
21	17148.97944
22	17033.38198
23	16920.58742
24	16824.79374
25	16743.85604
26	16656.65196
27	16579.79264
28	16514.93677
29	16452.32938
30	16391.15787
31	16330.11335
32	16271.01146
33	16221.04017
34	16180.97654
35	16137.62477
36	16095.25478
37	16058.50508
38	16010.60119
39	15981.00209
40	15931.2762
41	15889.14803
42	15861.14974
43	15826.16069
44	15797.88783
45	15767.62006
46	15743.20075
47	15714.46974
48	15693.55423
49	15660.60658
50	15637.83749
51	15604.15718
52	15583.089
53	15557.84926
54	15540.04833
55	15524.99439
56	15509.67814
57	15488.69205
58	15467.55255
59	15452.32219
60	15433.53265
61	15416.64938
62	15402.11104
63	15390.34212
64	15381.16952
65	15371.70978
66	15362.31362
67	15347.23794
68	15331.65588
69	15314.99249
70	15306.57781
71	15294.19625
72	15287.05883
73	15270.95306
74	15261.87732
75	15251.71744
76	15243.54534
77	15233.60902
78	15221.0423
79	15213.04741
80	15205.89632
81	15198.10087
82	15189.14712
83	15178.37412
84	15168.41517
85	15159.13368
86	15154.24554
87	15142.38565
88	15136.2332
89	15135.01072
90	15125.61116
91	15118.11178
92	15113.12489
93	15105.12547
94	15100.96836
95	15094.06261
96	15087.36841
97	15083.43993
98	15074.94961
99	15069.4103
100	15062.94495
101	15057.01396
102	15056.84594
103	15051.24189
104	15046.1957
105	15040.40209
106	15035.84931
107	15029.82839
108	15022.98144
109	15019.5737
110	15013.6065
111	15009.27642
112	15004.28174
113	15001.51652
114	14997.89687
115	14991.12251
116	14983.12734
117	14981.98045
118	14977.56306
119	14973.91802
120	14965.76947
121	14961.91676
122	14957.87827
123	14951.18761
124	14948.02785
125	14943.10351
126	14940.00404
127	14937.00834
128	14935.5502
129	14931.6044
130	14928.26016
131	14926.63437
132	14922.58513
133	14919.8909
134	14917.93057
135	14913.61284
136	14911.31616
137	14908.76327
138	14904.11445
139	14900.25465
140	14896.88915
141	14890.34672
142	14887.47247
143	14882.2486
144	14879.30715
145	14875.08781
146	14870.37835
147	14865.4078
148	14861.41465
149	14856.31364
150	14853.95303
151	14851.58418
152	14848.2225
153	14844.5162
154	14841.63056
155	14836.09055
156	14832.09704
157	14829.32648
158	14823.85011
159	14821.69221
160	14819.32908
161	14818.11986
162	14814.60335
163	14809.94482
164	14804.03891
165	14801.57416
166	14799.7617
167	14795.21322
168	14790.49907
169	14789.07417
170	14783.03364
171	14781.61428
172	14777.78531
173	14772.73128
174	14770.73032
175	14766.29504
176	14763.71127
177	14759.63284
178	14756.97788
179	14754.65444
180	14751.99653
181	14742.75847
182	14740.1959
183	14737.86614
184	14735.2231
185	14732.05213
186	14727.21701
187	14723.10332
188	14720.87603
189	14719.28068
190	14715.5637
191	14710.84132
192	14708.05839
193	14704.94974
194	14702.13865
195	14696.18096
196	14692.67054
197	14690.74236
198	14688.05597
199	14685.75324
200	14684.07601
201	14680.92878
202	14677.26829
203	14674.23851
204	14671.33629
205	14668.4589
206	14663.3488
207	14659.99322
208	14656.56077
209	14653.89622
210	14650.11806
211	14645.45733
212	14641.36913
213	14638.75941
214	14636.3526
215	14634.17158
216	14632.57031
217	14630.16576
218	14627.89067
219	14622.97711
220	14619.3677
221	14616.99111
222	14615.01712
223	14612.86712
224	14611.08338
225	14610.26176
226	14605.31126
227	14603.74947
228	14599.94983
229	14598.09932
230	14594.42835
231	14593.03939
232	14591.31501
233	14589.75634
234	14585.9442
235	14582.76736
236	14579.05349
237	14574.65135
238	14573.17242
239	14568.43826
240	14566.36298
241	14565.13604
242	14563.60732
243	14561.63384
244	14560.5298
245	14559.33912
246	14556.01754
247	14554.59094
248	14551.93584
249	14548.70053
250	14544.89729
251	14542.54378
252	14539.55429
253	14537.44262
254	14534.35801
255	14533.03235
256	14531.72935
257	14530.37803
258	14528.00468
259	14526.15702
260	14523.39349
261	14521.53856
262	14518.48799
263	14517.25429
264	14514.60409
265	14512.10176
266	14510.48774
267	14509.51446
268	14505.42496
269	14502.77944
270	14501.5809
271	14499.3245
272	14495.29861
273	14493.53664
274	14491.14006
275	14489.46916
276	14487.57714
277	14485.75374
278	14484.59465
279	14482.64726
280	14482.02411
281	14479.13937
282	14477.24443
283	14475.87971
284	14474.01326
285	14471.43354
286	14469.97925
287	14468.57311
288	14466.57675
289	14463.44906
290	14462.68066
291	14461.71508
292	14459.71285
293	14457.67954
294	14455.25185
295	14453.51116
296	14449.36008
297	14447.27101
298	14444.99027
299	14443.75713
300	14442.34923
301	14440.51812
302	14438.97946
303	14437.2489
304	14434.87468
305	14432.07265
306	14429.81906
307	14428.51995
308	14426.77449
309	14425.39876
310	14423.91422
311	14422.15613
312	14421.00319
313	14418.69836
314	14414.96017
315	14413.17594
316	14411.97224
317	14410.92204
318	14406.51203
319	14405.56822
320	14402.36642
321	14399.53035
322	14397.1301
323	14396.06303
324	14395.11563
325	14394.17291
326	14391.56796
327	14390.32837
328	14388.00787
329	14386.04156
330	14384.13245
331	14382.38726
332	14380.78538
333	14378.19251
334	14377.59129
335	14376.18223
336	14374.51714
337	14373.35942
338	14372.34829
339	14370.51168
340	14369.01335
341	14364.61748
342	14363.7441
343	14361.62744
344	14358.50808
345	14356.75225
346	14354.69596
347	14352.67473
348	14351.16966
349	14350.02512
350	14348.15211
351	14346.8573
352	14345.70895
353	14343.99169
354	14341.7697
355	14340.51755
356	14339.59494
357	14338.48957
358	14337.16036
359	14333.91452
360	14332.92059
361	14332.22057
362	14330.32191
363	14327.51974
364	14326.40041
365	14324.33472
366	14322.73836
367	14322.01859
368	14320.98893
369	14319.68979
370	14316.97338
371	14313.9787
372	14313.05859
373	14311.12086
374	14310.12363
375	14307.99934
376	14306.37342
377	14305.57653
378	14304.54764
379	14303.57623
380	14302.70193
381	14301.4427
382	14300.16523
383	14299.5535
384	14296.50815
385	14295.71533
386	14294.9559
387	14294.52169
388	14292.67846
389	14292.30332
390	14291.70654
391	14288.94909
392	14286.87152
393	14284.71076
394	14282.58792
395	14280.60814
396	14279.26539
397	14278.7657
398	14277.24753
399	14275.93003
400	14274.0555
401	14273.62282
402	14272.99812
403	14270.86203
404	14267.5953
405	14266.61666
406	14266.1799
407	14264.11386
408	14262.67328
409	14260.65026
410	14258.1502
411	14256.77987
412	14255.85576
413	14254.15412
414	14253.19256
415	14252.79176
416	14252.04996
417	14251.17536
418	14249.55405
419	14249.20587
420	14246.77468
421	14245.33086
422	14242.32369
423	14240.31837
424	14238.06405
425	14235.86642
426	14235.42608
427	14233.25727
428	14231.25286
429	14229.95423
430	14226.98967
431	14225.37346
432	14223.6663
433	14222.56672
434	14221.22293
435	14219.65851
436	14218.01614
437	14217.1606
438	14216.12091
439	14215.4201
440	14214.65059
441	14213.41423
442	14211.64194
443	14210.04241
444	14208.90064
445	14208.05296
446	14206.48222
447	14205.03486
448	14203.81436
449	14203.20554
450	14202.63453
451	14200.81357
452	14197.35925
453	14195.05602
454	14192.75169
455	14190.98666
456	14189.88998
457	14188.54547
458	14187.85587
459	14187.05006
460	14185.55586
461	14183.98388
462	14183.17633
463	14180.9014
464	14179.89003
465	14178.55703
466	14177.53692
467	14176.14203
468	14175.48174
469	14173.07829
470	14171.53468
471	14170.97089
472	14169.52621
473	14168.25026
474	14166.81126
475	14165.34382
476	14163.06831
477	14161.49964
478	14159.88556
479	14158.21404
480	14156.99402
481	14156.64509
482	14155.02084
483	14153.53957
484	14152.1144
485	14151.11452
486	14150.47549
487	14149.88869
488	14148.92925
489	14147.90693
490	14144.63605
491	14143.90276
492	14142.72509
493	14142.08981
494	14140.23467
495	14139.34342
496	14138.00998
497	14136.79638
498	14135.23797
499	14133.9631
500	14132.16852
501	14131.04478
502	14129.66378
503	14128.56507
504	14126.38397
505	14125.08059
506	14122.83168
507	14121.84544
508	14119.85422
509	14118.01281
510	14117.13683
511	14115.30524
512	14114.72628
513	14113.24585
514	14112.31748
515	14111.38144
516	14110.2411
517	14109.79494
518	14107.96226
519	14105.80042
520	14105.13292
521	14103.49039
522	14102.60939
523	14100.94722
524	14099.69268
525	14098.73349
526	14097.83229
527	14096.123
528	14095.05839
529	14094.26751
530	14093.69569
531	14093.41421
532	14092.83742
533	14091.14121
534	14090.13069
535	14088.77613
536	14087.20937
537	14085.85942
538	14085.41359
539	14084.22732
540	14082.50681
541	14081.8653
542	14081.19744
543	14080.58761
544	14080.02939
545	14078.9429
546	14077.88461
547	14077.12597
548	14076.56562
549	14075.61489
550	14075.08341
551	14074.52538
552	14073.65618
553	14072.16866
554	14071.66133
555	14070.60849
556	14070.14367
557	14068.39619
558	14067.33681
559	14066.26354
560	14063.92973
561	14062.99365
562	14062.64593
563	14061.75397
564	14060.62432
565	14059.93258
566	14059.52508
567	14058.21545
568	14057.84086
569	14056.53211
570	14054.50677
571	14053.34285
572	14051.85301
573	14051.49079
574	14049.39823
575	14047.29469
576	14046.53693
577	14045.70635
578	14043.79454
579	14042.5561
580	14042.10196
581	14041.34561
582	14040.70875
583	14038.94065
584	14037.71735
585	14037.12375
586	14036.61428
587	14035.82892
588	14035.52141
589	14034.14941
590	14033.55363
591	14032.6162
592	14032.24967
593	14031.58859
594	14030.66999
595	14028.72479
596	14027.76094
597	14025.71178
598	14024.16885
599	14022.42899
600	14021.94437
601	14021.26064
602	14020.6574
603	14019.31916
604	14018.46106
605	14017.9356
606	14016.42006
607	14014.52563
608	14012.69964
609	14011.43242
610	14010.99321
611	14010.06849
612	14008.95288
613	14007.58844
614	14006.75934
615	14006.07307
616	14004.84012
617	14001.80531
618	14000.49854
619	13999.8877
620	13997.87374
621	13996.84415
622	13995.94433
623	13994.61165
624	13993.41461
625	13992.17769
626	13990.9172
627	13990.26224
628	13989.28864
629	13987.53355
630	13986.85487
631	13985.23302
632	13984.57767
633	13983.67324
634	13980.80462
635	13980.16509
636	13978.8046
637	13977.33138
638	13976.59648
639	13975.36509
640	13974.11531
641	13973.52374
642	13972.97432
643	13971.76673
644	13970.13454
645	13969.60957
646	13967.99602
647	13966.75712
648	13964.93475
649	13963.96643
650	13963.45728
651	13962.85687
652	13962.3882
653	13961.61947
654	13960.81219
655	13960.11474
656	13958.11946
657	13957.60423
658	13957.07367
659	13956.66488
660	13956.02628
661	13955.08063
662	13954.11896
663	13953.35957
664	13952.67102
665	13951.71164
666	13951.02806
667	13950.46995
668	13950.01622
669	13949.24046
670	13948.07472
671	13947.77082
672	13947.06853
673	13946.0549
674	13944.59689
675	13943.7506
676	13943.21122
677	13942.46597
678	13941.96093
679	13940.40807
680	13938.87621
681	13937.42714
682	13936.96699
683	13936.09891
684	13935.76254
685	13935.2695
686	13934.3208
687	13933.79721
688	13933.46216
689	13932.60731
690	13932.2237
691	13931.26044
692	13930.69245
693	13930.26792
694	13929.52175
695	13928.77037
696	13928.00654
697	13927.58926
698	13927.1978
699	13926.48045
700	13926.03929
701	13924.75928
702	13923.81152
703	13922.67803
704	13921.90651
705	13920.49159
706	13919.91196
707	13919.36173
708	13918.54766
709	13918.36593
710	13916.33808
711	13915.24983
712	13914.69935
713	13914.41354
714	13913.26976
715	13911.88356
716	13910.4714
717	13909.65331
718	13907.9722
719	13906.31037
720	13905.96266
721	13905.1491
722	13904.51183
723	13903.67037
724	13903.04567
725	13902.47796
726	13901.11575
727	13900.28171
728	13898.89046
729	13898.03502
730	13897.67937
731	13897.16168
732	13896.42724
733	13895.55072
734	13895.225
735	13894.62849
736	13894.10676
737	13892.65188
738	13891.84911
739	13891.03768
740	13890.43285
741	13888.07183
742	13887.52933
743	13886.51446
744	13885.78043
745	13884.85333
746	13884.15129
747	13883.36592
748	13882.66873
749	13881.22344
750	13880.35697
751	13879.26486
752	13878.55359
753	13877.71276
754	13877.25666
755	13876.83914
756	13875.8288
757	13874.55225
758	13874.24783
759	13872.10427
760	13870.99561
761	13869.52159
762	13868.90712
763	13868.18604
764	13867.90764
765	13867.32708
766	13866.72315
767	13865.93776
768	13865.09705
769	13864.78807
770	13863.23981
771	13862.05061
772	13861.20205
773	13860.23942
774	13859.41976
775	13859.08755
776	13858.44147
777	13857.55006
778	13856.8648
779	13856.42209
780	13855.94194
781	13855.33353
782	13854.75015
783	13854.39076
784	13853.8432
785	13852.77107
786	13852.39923
787	13851.62787
788	13851.34201
789	13850.8633
790	13850.50391
791	13850.11783
792	13849.83145
793	13848.8083
794	13848.07996
795	13846.85098
796	13845.39672
797	13844.58685
798	13843.41247
799	13842.24759
800	13841.38889
801	13838.90771
802	13838.47186
803	13837.44913
804	13835.78546
805	13834.79025
806	13833.88509
807	13833.44597
808	13832.73462
809	13832.18113
810	13831.54994
811	13830.96353
812	13829.61549
813	13827.93829
814	13827.04221
815	13826.83653
816	13826.01846
817	13825.54349
818	13824.89413
819	13824.25273
820	13822.53221
821	13822.04502
822	13821.21536
823	13818.93108
824	13817.48083
825	13816.28314
826	13815.68523
827	13814.57733
828	13814.14506
829	13813.65225
830	13810.93488
831	13809.72365
832	13809.27311
833	13809.27067
834	13808.78538
835	13808.10473
836	13807.72392
837	13807.2187
838	13806.41644
839	13805.33828
840	13804.80963
841	13804.36154
842	13804.03546
843	13802.55505
844	13800.85558
845	13799.96025
846	13798.63789
847	13797.97501
848	13796.86335
849	13796.22852
850	13794.96626
851	13794.04744
852	13793.6311
853	13792.41919
854	13791.24971
855	13790.98268
856	13789.90852
857	13789.524
858	13789.22844
859	13787.48714
860	13786.54434
861	13785.32236
862	13785.32072
863	13785.23733
864	13784.85723
865	13784.15507
866	13783.60449
867	13783.33591
868	13782.93141
869	13782.32063
870	13782.02045
871	13779.30837
872	13778.03235
873	13777.80099
874	13777.12973
875	13776.85684
876	13775.8519
877	13774.97705
878	13774.60228
879	13774.10351
880	13773.17748
881	13772.82312
882	13772.27883
883	13771.62714
884	13771.33937
885	13770.69907
886	13770.36437
887	13769.69592
888	13769.22849
889	13768.56982
890	13768.19221
891	13767.20572
892	13766.82898
893	13765.65782
894	13765.03961
895	13763.94437
896	13763.29026
897	13762.22466
898	13761.80977
899	13759.95355
900	13758.29974
901	13756.99688
902	13756.64778
903	13755.81225
904	13754.72402
905	13752.66062
906	13751.93884
907	13751.56529
908	13750.85273
909	13749.65799
910	13748.33756
911	13747.92607
912	13746.3178
913	13745.62892
914	13744.11825
915	13743.8307
916	13743.3855
917	13743.14636
918	13742.18205
919	13741.6584
920	13740.93388
921	13740.35816
922	13739.45079
923	13738.02264
924	13737.12871
925	13736.68082
926	13736.12735
927	13735.57944
928	13734.99927
929	13734.18234
930	13732.9263
931	13732.38012
932	13731.61747
933	13730.72917
934	13729.62059
935	13728.75147
936	13728.15323
937	13726.85331
938	13725.15264
939	13724.75706
940	13724.51242
941	13724.23212
942	13723.92323
943	13723.38012
944	13722.91269
945	13722.41481
946	13721.6362
947	13721.24366
948	13720.72617
949	13719.98645
950	13718.06981
951	13717.11707
952	13716.59506
953	13714.96112
954	13713.43035
955	13712.78698
956	13711.93247
957	13709.32796
958	13708.22099
959	13707.79005
960	13707.78961
961	13706.59615
962	13705.67975
963	13705.35299
964	13704.87733
965	13704.38772
966	13704.10807
967	13702.52015
968	13702.24992
969	13700.87097
970	13699.86474
971	13699.86429
972	13699.42427
973	13698.25563
974	13697.05768
975	13696.34062
976	13695.97918
977	13695.73997
978	13694.75853
979	13693.47994
980	13693.12991
981	13692.35475
982	13691.37574
983	13690.90748
984	13690.39824
985	13689.7712
986	13689.3703
987	13687.07837
988	13686.09558
989	13685.64446
990	13685.32189
